"","State","AreaName","population","male","female"
"1","AL","Alabama",4830620,2341093,2489527
"2","AK","Alaska",733375,384160,349215
"3","GA","Georgia",10006693,4883331,5123362
"4","HI","Hawaii",1406299,709871,696428
"5","ID","Idaho",1616547,810464,806083
"6","IL","Illinois",12873761,6316899,6556862
"7","IN","Indiana",6568645,3235263,3333382
"8","IA","Iowa",3093526,1534595,1558931
"9","KS","Kansas",2892987,1439862,1453125
"10","KY","Kentucky",4397353,2164208,2233145
"11","LA","Louisiana",4625253,2261156,2364097
"12","ME","Maine",1329100,650081,679019
"13","AZ","Arizona",6641928,3299088,3342840
"14","MD","Maryland",5930538,2872643,3057895
"15","MA","Massachusetts",6705586,3249650,3455936
"16","MI","Michigan",9900571,4861973,5038598
"17","MN","Minnesota",5419171,2692166,2727005
"18","MS","Mississippi",2988081,1451723,1536358
"19","MO","Missouri",6045448,2964003,3081445
"20","MT","Montana",1014699,510163,504536
"21","NE","Nebraska",1869365,929606,939759
"22","NV","Nevada",2798636,1407735,1390901
"23","NH","New Hampshire",1324201,653484,670717
"24","AR","Arkansas",2958208,1451913,1506295
"25","NJ","New Jersey",8904413,4343027,4561386
"26","NM","New Mexico",2084117,1032414,1051703
"27","NY","New York",19673174,9541801,10131373
"28","NC","North Carolina",9845333,4795408,5049925
"29","ND","North Dakota",721640,367963,353677
"30","OH","Ohio",11575977,5662893,5913084
"31","OK","Oklahoma",3849733,1906944,1942789
"32","OR","Oregon",3939233,1948453,1990780
"33","PA","Pennsylvania",12779559,6245344,6534215
"34","PR","Puerto Rico",3583073,1713860,1869213
"35","CA","California",38421464,19087135,19334329
"36","RI","Rhode Island",1053661,510388,543273
"37","SC","South Carolina",4777576,2322409,2455167
"38","SD","South Dakota",843190,423477,419713
"39","TN","Tennessee",6499615,3167756,3331859
"40","TX","Texas",26538614,13171316,13367298
"41","UT","Utah",2903379,1459229,1444150
"42","VT","Vermont",626604,308573,318031
"43","VA","Virginia",8256630,4060948,4195682
"44","WA","Washington",6985464,3487725,3497739
"45","WV","West Virginia",1851420,913631,937789
"46","CO","Colorado",5278906,2648667,2630239
"47","WI","Wisconsin",5742117,2851385,2890732
"48","WY","Wyoming",579679,295561,284118
"49","CT","Connecticut",3593222,1751607,1841615
"50","DC","District of Columbia",647484,306674,340810
"51","DE","Delaware",926454,448413,478041
"52","FL","Florida",19645772,9600009,10045763
